,Wi-1,Wi-2,Wi-3,H11-1,H11-2,H11-3,hgnc_symbol
ENSG00000185379,8.613492786,8.629926739,8.692233359,8.720760807,8.67540509,8.646982822,RAD51D
ENSG00000073598,5.567959004,5.76015704,5.542906217,5.417635302,5.589411128,5.609230113,FNDC8
ENSG00000073536,10.52416266,10.39668099,10.2067371,10.4817628,10.67090066,10.80038158,NLE1
ENSG00000141161,6.026797571,6.100649185,5.972483347,6.405520444,6.180073376,6.145113372,UNC45B
ENSG00000266947,6.026797571,5.81385455,5.933175411,6.089336173,6.044013369,5.949963422,NA
ENSG00000166750,7.944393749,7.63996197,8.069395373,7.91689311,7.637411125,7.918270705,SLFN5
ENSG00000267364,6.026797571,6.310202819,5.621870739,6.061604682,6.180073376,5.67365026,NA
ENSG00000172716,5.677261421,5.63259774,5.688194314,6.215473297,6.154599711,5.781166397,SLFN11
ENSG00000267711,5.189162296,5.189162296,5.542906217,5.697936966,5.878074987,5.67365026,NA
ENSG00000267547,5.498743378,6.065971512,6.111632181,6.325746463,6.421147419,6.575126465,NA
ENSG00000267745,5.940416999,6.165862776,6.632750797,6.826586038,6.971255409,7.109421894,NA
ENSG00000267648,5.498743378,5.700534186,5.688194314,6.167254365,6.044013369,6.227492327,NA
ENSG00000267102,6.358217946,6.100649185,6.910753951,6.628487,6.885461186,7.188522889,NA
ENSG00000172123,7.194907003,6.773987714,8.207108084,8.531822891,8.332007209,8.966265238,SLFN12
ENSG00000154760,9.511118738,8.864618404,9.970124566,10.08702159,9.57492475,9.713786362,SLFN13
ENSG00000267321,7.451006406,8.111606844,8.1284364,7.993164595,8.474120257,8.322287382,NA
ENSG00000108733,7.683842443,7.541094865,7.744545283,7.85970914,7.608859198,7.445886559,PEX12
ENSG00000006125,12.66257688,12.31482596,12.51299969,12.48985046,12.44528368,12.66735728,AP2B1
ENSG00000270647,13.38822972,13.02094902,12.76475306,12.88315672,12.85384795,12.93652281,TAF15
ENSG00000270885,9.717792909,10.00096287,9.39876431,9.574713057,9.757497289,9.594593678,RASL10B
ENSG00000270765,5.765605161,5.189162296,5.891468628,5.511936063,5.420739173,5.432258496,GAS2L2
ENSG00000271447,5.408278755,5.551698105,5.439609499,5.511936063,5.420739173,5.189162296,MMP28
ENSG00000270871,5.723345127,5.81385455,6.686986847,6.405520444,5.949220366,5.67365026,NA
ENSG00000270894,5.189162296,5.700534186,5.542906217,5.644691308,5.650840947,5.532547962,NA
ENSG00000271503,5.626144188,5.551698105,5.189162296,5.417635302,5.189162296,5.67365026,CCL5
ENSG00000270977,6.463310006,6.196670176,6.359424645,6.386181084,6.101201255,6.227492327,NA
ENSG00000271013,6.281253635,6.100649185,5.972483347,6.142087005,5.753413462,6.085343021,NA
ENSG00000278023,7.68993713,7.863200843,7.556442935,7.575044199,7.423433057,7.061880846,RDM1
ENSG00000274808,5.189162296,5.445850141,5.439609499,5.584068768,5.516311776,5.189162296,TBC1D3B
ENSG00000261499,5.626144188,5.445850141,5.972483347,5.789926876,6.013751239,5.911737781,NA
ENSG00000273611,9.800746143,9.906513327,9.696424527,9.385419637,9.514740829,9.649830835,ZNHIT3
ENSG00000278259,10.64005472,10.29654681,10.92715153,10.83250589,10.57521237,10.6904107,MYO19
ENSG00000277161,8.656691049,8.752108639,8.867013008,8.69204182,8.880961587,9.165485236,PIGW
ENSG00000278311,10.25303224,10.1511891,10.15322757,9.67703874,9.77469643,9.88224356,GGNBP2
ENSG00000274756,5.498743378,5.700534186,5.439609499,5.830756807,5.516311776,5.609230113,RPS2P50
ENSG00000278535,8.949542075,9.716716953,9.449823379,9.252478692,9.349084865,9.211871516,DHRS11
ENSG00000278619,8.234917308,7.9625078,8.207108084,8.090384949,8.183428063,8.45779903,MRM1
ENSG00000275720,5.408278755,5.551698105,6.142896563,5.511936063,5.420739173,5.532547962,NA
ENSG00000277268,5.940416999,6.226424016,5.972483347,5.868990502,6.073126343,5.730209027,LHX1-DT
ENSG00000273706,5.677261421,6.029684969,6.142896563,6.061604682,6.073126343,5.67365026,LHX1
ENSG00000275700,10.89394455,10.47746436,10.60640864,10.49649784,10.46214935,10.92661976,AATF
ENSG00000278540,11.96556881,11.62028124,12.031399,12.28933287,11.74002114,12.30187763,ACACA
ENSG00000275029,5.498743378,5.551698105,5.542906217,5.789926876,5.650840947,5.432258496,NA
ENSG00000278505,5.567959004,5.445850141,5.189162296,5.417635302,5.704791221,5.189162296,C17orf78
ENSG00000276054,5.567959004,5.189162296,5.542906217,5.745928069,5.650840947,5.67365026,NA
ENSG00000276234,9.126177017,8.955421091,8.501774732,8.453924212,8.493302149,8.604916957,TADA2A
ENSG00000275839,5.189162296,5.63259774,5.933175411,5.868990502,5.516311776,5.532547962,NA
ENSG00000276023,9.15432002,9.446100148,9.238970211,9.314249229,9.771584579,9.502370713,DUSP14
ENSG00000275066,10.23596981,9.814744294,9.901855768,9.97436274,9.727296224,10.0486844,SYNRG
ENSG00000278053,10.58406653,10.31503984,10.30562405,10.14313859,10.25292145,10.59576891,DDX52
ENSG00000277501,5.408278755,5.445850141,5.439609499,5.189162296,5.189162296,5.67365026,NA
ENSG00000275410,5.498743378,5.551698105,5.798853599,5.697936966,5.839347655,5.781166397,HNF1B
ENSG00000274512,6.463310006,6.807835668,7.008568129,6.995916689,6.751019644,6.227492327,TBC1D3
ENSG00000274615,5.189162296,5.189162296,5.688194314,5.417635302,5.420739173,5.189162296,NPEPPSP1
ENSG00000274487,6.053486502,6.100649185,6.406531859,6.46138698,5.949220366,6.458485851,NA
ENSG00000278845,10.77813724,10.82390343,10.58274283,10.57928441,10.85760914,10.75514198,MRPL45
ENSG00000277399,5.498743378,5.189162296,5.688194314,5.584068768,5.189162296,5.189162296,GPR179
ENSG00000274211,10.2012262,9.967938086,10.09474359,10.1159503,10.05100321,10.35836112,SOCS7
ENSG00000275832,10.38270918,10.47863642,10.91566866,11.33990151,11.36399186,12.13138639,ARHGAP23
ENSG00000276170,7.263828972,7.604846315,7.875507301,7.678938469,7.94576374,8.096394136,LOC101929494
ENSG00000277363,8.247157424,7.740147001,7.81159237,7.905644802,7.264966964,7.166422711,SRCIN1
ENSG00000273604,8.597740299,8.177635607,7.861559028,8.498961986,8.064505509,7.924592818,EPOP
ENSG00000277969,5.677261421,5.81385455,5.798853599,5.584068768,5.753413462,5.609230113,NA
ENSG00000275532,5.567959004,5.445850141,5.439609499,5.417635302,5.420739173,5.189162296,NA
ENSG00000275023,8.167765346,8.135980351,8.756618235,8.890307143,7.699527695,7.713646093,MLLT6
ENSG00000275665,5.567959004,5.445850141,5.542906217,5.697936966,5.516311776,5.189162296,NA
ENSG00000277972,8.393614183,8.931537262,8.207108084,8.662730165,9.000513415,8.427324964,CISD3
ENSG00000277258,10.76140795,11.11586199,10.39224735,10.53981986,10.88158866,10.80290034,PCGF2
ENSG00000277182,6.320519314,6.226424016,6.406531859,5.905045407,6.252301529,6.394792204,LOC100287808
ENSG00000277791,11.35939111,11.75158053,11.18321728,11.160784,11.58539227,11.27023178,PSMB3
ENSG00000276293,10.92619697,10.78085495,11.03342452,10.99822603,10.94571928,11.14349752,PIP4K2B
ENSG00000273559,8.659726891,8.542205124,8.60844498,8.498961986,8.613770404,8.350452934,CWC25
ENSG00000125691,14.3918381,14.75795832,14.07328113,13.92863285,14.55168881,14.1885231,RPL23
ENSG00000244086,5.498743378,5.445850141,5.439609499,5.511936063,5.189162296,5.532547962,NA
ENSG00000002834,12.38608292,12.21820453,12.3299135,12.32715308,12.60542827,12.96434259,LASP1
ENSG00000263466,5.189162296,5.189162296,5.439609499,5.584068768,5.589411128,5.189162296,NA
ENSG00000263874,6.104270035,6.387105476,6.429269099,6.786928689,6.421147419,6.278429636,LASP1NB
ENSG00000214553,5.87622439,6.196670176,6.079118922,5.939237045,5.797987339,6.053701401,NA
ENSG00000263818,5.841570422,5.99156911,5.972483347,5.789926876,5.753413462,5.609230113,RDM1P5
ENSG00000161381,6.128506336,6.525052824,6.967607952,6.366452953,6.340452507,6.349931106,PLXDC1
ENSG00000280177,5.498743378,5.189162296,5.621870739,5.417635302,5.189162296,5.609230113,NA
ENSG00000067191,7.993986849,8.086799372,8.347383908,8.029779545,8.006406143,7.924592818,CACNB1
ENSG00000108298,14.42887687,14.70345934,14.05676656,13.96911836,14.36740568,14.14263176,RPL19
ENSG00000141750,7.903395694,8.523989383,8.281591056,8.008975298,8.332007209,8.156379394,STAC2
ENSG00000265460,5.626144188,5.700534186,5.189162296,5.417635302,5.650840947,5.532547962,NA
ENSG00000108306,8.512878208,8.30101913,8.764004756,8.305247822,8.410926139,8.145663124,FBXL20
ENSG00000266469,8.656691049,8.348525437,8.624790816,8.495263184,8.724799155,8.786820939,NA
ENSG00000125686,10.96323973,10.15412741,10.6377033,10.58532735,10.26844455,10.75600884,MED1
ENSG00000167258,11.19525842,10.32550165,10.88655487,10.61263404,10.51329101,11.04268858,CDK12
ENSG00000273576,5.804830675,6.226424016,6.28413201,6.061604682,5.914592584,6.085343021,NA
ENSG00000214546,5.498743378,5.551698105,5.439609499,5.511936063,5.420739173,5.67365026,NA
ENSG00000131771,9.685593262,9.027984223,8.302165091,7.966405429,7.968124359,7.799201381,PPP1R1B
ENSG00000131748,10.06348676,10.37670038,10.18912063,10.45088737,10.51607968,10.52531062,STARD3
ENSG00000173991,6.174955474,6.196670176,6.595050403,6.346315545,6.180073376,5.986200366,TCAP
ENSG00000141744,6.79038555,7.329134578,6.86627442,6.839511829,6.922980779,6.87933291,PNMT
ENSG00000161395,9.204865513,9.518683619,9.034915785,9.37546618,9.408462524,9.13370417,PGAP3
ENSG00000141736,12.7791352,12.64827626,12.88398912,13.18038746,12.97121509,13.43985496,ERBB2
ENSG00000265178,5.498743378,5.189162296,5.439609499,5.511936063,5.189162296,5.432258496,MIR4728
ENSG00000141741,9.267618924,10.02684765,8.90421598,9.181076562,9.516602142,8.923476737,MIEN1
